序号,书名,作者,类型
0001,你可以拥有你想要的生活,艾小玛,情感
0002,女神日常修炼手册,余点,风尚
0003,零基础学投资,水湄物语,理财
0004,Low Fashion,张璇,风尚
0005,我的第一本理财书,王空空,理财
0006,总有一句歌词打湿你心,十三,情感
0007,自我复位健康术,整骨刘医生,健康
0008,学心理，我在学什么,麦子,心理
0009,在床上,小短,科普
0010,识男手册,芒来小姐,情感
0011,好姑娘使用手册,宋小君,情感
0012,月薪三千的你,燕子坞主人,行业
0013,女性心理成长自疗课,黄鑫,心理
0014,我用奔跑告诉你，我不回头,这么远那么近,情感
0015,犀读：好文笔是读出来的,舒明月,文化
0016,旅行手绘小课堂,Tifa,设计
0017,跑赢CPI,Alex,理财
0018,正解：从写作文到写作,陈崇正,行业
0019,“战拖”新知,高地清风,心理
0020,爱上学英语,安妮蔡,文化
0021,少女不背LV,秋秋桑,风尚
0022,古妆剧,无翼,风尚
0023,从时间管理到投资,习坎,理财
0024,看电影学心理学,郑世彦,心理
0025,经纬+巷陌,高雅,文化
0026,汉字中的历史文化,老铁,文化
0027,如不相爱，请勿牵手旅行,文珍,旅行
0028,职场辩证法,懒人老猫,行业
0029,衣橱故事,于晓丹,风尚
0030,奇事集,骑桶人,短故事
0031,豆瓣阅读书评,豆瓣阅读,文化
0032,城市里的手艺人,祝小兔,风尚
0033,人间动物园,张大锤,文化
0034,UI 设计点滴,吴启文,设计
0035,人生玩家,猛犸,心理
0036,万万没想到,安乔,心理
0037,内向人士联盟,首心,心理
0038,帝都本格日本料理,吉井忍,饮食
0039,平行世界,孔龙,短故事
0040,厨房故事,耶桑,饮食
0041,狂奔的蜗牛,米周,行业
0042,叫我时髦女青年,邱大王,风尚
0043,职场，你懂的,小川叔,行业
0044,红药水与黑咖啡,女王C-cup,情感
0045,罪案现场,林隐,心理
0046,书店的回声,linlin,行业
0047,男人和女人的博弈,史钧,科普
0048,Fashion Insider,Makoto,风尚
0049,你说的不朽,北溟鱼,文化
0050,IT女民工告别土肥圆,京客隆小丸子,风尚
